x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,Temperature,Humidity,time,odor_label
start,1123.0,1123.1,5869.6,5870.4,5869.6,4238.7,4238.4,4240.5,22163.7,22161.7,22154.0,17821.0,17838.0,17801.9,1123.1,1123.1,1123.1,1123.1,-10597889.0,-6960184.5,-7035520.0,1862.0,1861.6,1862.2,3383.7,3382.9,3383.1,4599.7,4599.8,4598.0,1123.1,1123.1,1123.1,1123.1,28320.7,28372.0,28375.4,111935.4,112581.7,113068.0,3960.9,3959.7,3960.2,3223.7,3224.4,3229.0,1123.1,1123.1,1123.0,1123.1,93986.4,94632.5,94881.2,4436.9,4440.0,4442.8,1122.9,1122.8,1122.8,2926.1,2926.9,2927.2,1123.1,1123.1,28.790001,25.4,0.0,whiskey_cuttysark
start,1123.0,1123.1,5871.4,5871.3,5871.2,4238.4,4238.6,4239.6,22168.0,22157.3,22157.8,17827.2,17789.6,17801.8,1123.2,1123.1,1123.1,1123.1,-9227184.0,-7204476.5,-7103867.5,1861.8,1861.5,1862.2,3384.3,3384.4,3383.9,4599.3,4599.1,4598.7,1123.2,1123.1,1123.1,1123.1,28340.6,28373.7,28345.6,112203.8,112873.8,112835.7,3961.4,3959.8,3960.3,3224.3,3224.2,3228.7,1123.1,1123.1,1123.0,1123.1,94392.1,94647.1,94898.1,4437.0,4439.5,4443.6,1122.9,1122.8,1122.8,2925.6,2926.0,2926.4,1123.1,1123.1,28.790001,25.469999,1.8,whiskey_cuttysark
start,1123.1,1123.1,5869.3,5869.9,5871.1,4237.2,4237.8,4239.2,22161.9,22179.2,22166.8,17836.0,17806.3,17786.4,1123.2,1123.1,1123.0,1123.1,-10559631.0,-7372445.0,-7391074.0,1861.4,1861.0,1861.8,3383.6,3382.7,3382.8,4599.4,4599.8,4600.4,1123.1,1123.1,1123.1,1123.1,28346.7,28339.9,28345.2,112176.9,112078.0,112819.4,3961.4,3959.8,3960.4,3225.3,3225.6,3229.5,1123.1,1123.1,1123.1,1123.1,94401.2,94560.6,94427.9,4436.5,4439.4,4441.2,1122.8,1122.8,1122.8,2925.6,2925.5,2926.2,1123.1,1123.1,28.790001,25.43,3.6,whiskey_cuttysark
start,1123.0,1123.1,5869.8,5869.8,5871.6,4236.8,4236.8,4238.8,22164.7,22176.2,22160.1,17765.1,17780.5,17799.0,1123.1,1123.1,1123.1,1123.1,-8856980.0,-6216827.0,-7018637.5,1861.3,1860.9,1861.5,3381.6,3382.3,3383.1,4600.0,4598.2,4600.5,1123.2,1123.1,1123.1,1123.1,28343.0,28371.7,28391.2,111997.6,112408.6,112450.7,3961.2,3959.8,3960.9,3224.9,3224.9,3230.2,1123.1,1123.1,1123.1,1123.1,94441.6,94626.4,94908.1,4437.1,4440.7,4443.2,1122.8,1122.8,1122.8,2925.9,2925.7,2927.0,1123.1,1123.1,28.799999,25.41,5.4,whiskey_cuttysark
start,1123.0,1123.1,5869.0,5869.0,5869.7,4237.3,4237.2,4238.7,22172.3,22157.7,22166.4,17770.8,17775.2,17759.0,1123.2,1123.1,1123.1,1123.1,-8897392.0,-7567962.5,-7657113.5,1861.5,1861.1,1861.8,3383.3,3383.0,3383.5,4598.5,4596.4,4596.5,1123.1,1123.1,1123.0,1123.1,28366.9,28379.1,28386.3,112027.6,112549.2,112777.0,3960.2,3959.5,3960.5,3224.1,3224.5,3228.8,1123.1,1123.1,1123.0,1123.1,94450.0,94684.6,94720.6,4437.6,4439.8,4441.6,1122.9,1122.8,1122.8,2925.5,2925.1,2926.2,1123.1,1123.1,28.799999,25.389999,7.2,whiskey_cuttysark
start,1123.0,1123.1,5867.5,5866.8,5868.5,4236.3,4236.3,4238.4,22135.1,22158.4,22150.9,17793.6,17775.2,17781.6,1123.1,1123.1,1123.1,1123.1,-10714350.0,-6914935.0,-6177439.0,1861.3,1861.1,1861.4,3383.3,3383.0,3383.7,4599.0,4596.4,4597.9,1123.1,1123.1,1123.1,1123.1,28336.1,28406.0,28370.7,111999.7,112391.3,112657.5,3961.3,3960.0,3961.0,3224.0,3224.5,3229.0,1123.1,1123.1,1123.1,1123.1,94627.9,94595.1,94615.7,4438.0,4439.1,4442.3,1122.8,1122.8,1122.8,2925.0,2924.5,2925.6,1123.2,1123.1,28.76,25.34,9.0,whiskey_cuttysark
start,1123.0,1123.1,5868.8,5867.6,5866.9,4236.3,4236.8,4237.6,22135.5,22146.9,22152.7,17768.5,17777.7,17781.2,1123.1,1123.1,1123.1,1123.1,-9397647.0,-7381747.5,-6712604.5,1861.2,1860.8,1861.5,3383.2,3382.6,3384.2,4598.6,4598.5,4598.0,1123.2,1123.1,1123.1,1123.1,28341.0,28379.1,28366.9,112378.4,112619.6,112522.1,3960.9,3960.2,3960.3,3224.3,3224.8,3229.2,1123.1,1123.1,1123.1,1123.1,94574.4,94795.9,94915.8,4437.4,4439.5,4442.6,1122.9,1122.8,1122.8,2924.5,2925.0,2925.2,1123.1,1123.1,28.790001,25.379999,10.8,whiskey_cuttysark
start,1123.0,1123.1,5866.8,5866.9,5868.2,4235.4,4235.6,4237.1,22150.9,22141.5,22151.0,17732.5,17710.7,17758.9,1123.1,1123.1,1123.1,1123.1,-10694762.0,-7276162.5,-6514515.0,1861.2,1860.7,1861.1,3382.9,3382.4,3382.9,4597.8,4598.8,4598.7,1123.1,1123.1,1123.1,1123.1,28309.0,28366.9,28376.4,112054.4,112908.7,113083.3,3960.5,3959.1,3960.4,3223.3,3223.4,3227.6,1123.1,1123.1,1123.0,1123.1,94463.7,94681.5,94849.6,4439.2,4440.4,4442.9,1122.8,1122.8,1122.8,2924.5,2924.9,2926.1,1123.1,1123.1,28.790001,25.389999,12.6,whiskey_cuttysark
start,1123.1,1123.1,5868.8,5870.2,5869.4,4236.2,4235.4,4237.7,22120.2,22148.9,22143.8,17805.9,17788.8,17762.7,1123.1,1123.1,1123.1,1123.1,-9991520.0,-6882394.0,-7943021.0,1861.0,1860.6,1861.0,3381.8,3381.3,3381.4,4597.8,4598.7,4598.5,1123.2,1123.1,1123.1,1123.1,28364.4,28372.4,28379.6,112063.0,112586.0,113014.5,3960.4,3958.5,3958.9,3223.3,3224.3,3228.0,1123.1,1123.1,1123.1,1123.1,94706.1,94818.1,94876.6,4437.9,4440.3,4443.2,1122.8,1122.8,1122.8,2924.2,2925.0,2925.2,1123.1,1123.1,28.780001,25.34,14.4,whiskey_cuttysark
start,1123.0,1123.1,5869.5,5870.1,5870.7,4235.3,4235.3,4237.1,22141.4,22147.2,22136.4,17773.0,17755.7,17748.9,1123.2,1123.1,1123.1,1123.1,-12814973.0,-7142899.5,-7317117.0,1860.8,1860.3,1861.2,3380.3,3380.2,3380.5,4598.0,4596.7,4598.5,1123.1,1123.1,1123.1,1123.1,28292.6,28366.1,28387.2,112362.2,112376.2,112980.6,3960.0,3958.6,3959.4,3222.5,3222.9,3227.4,1123.2,1123.1,1123.0,1123.1,94713.0,94858.9,94911.2,4438.4,4439.2,4442.9,1122.9,1122.8,1122.8,2925.5,2925.5,2926.2,1123.1,1123.1,28.780001,25.34,16.2,whiskey_cuttysark
