x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,Temperature,Humidity,time,odor_label
start,1123.0,1123.1,6187.7,6186.6,6188.8,4853.0,4853.2,4855.4,23238.1,23267.3,23257.7,20159.3,20111.6,20076.9,1123.1,1123.1,1123.1,1123.1,-11758864.0,-8113779.0,-8170440.0,1859.8,1859.5,1859.8,3694.5,3693.2,3695.5,4073.6,4070.9,4070.2,1123.2,1123.1,1123.1,1123.1,26697.9,26705.6,26697.0,113872.4,114541.2,114778.3,3836.4,3835.6,3835.9,3268.5,3268.9,3273.1,1123.1,1123.1,1123.1,1123.1,102762.0,102991.7,103445.2,4714.1,4718.7,4722.2,1122.8,1122.8,1122.8,2999.9,3000.6,3001.2,1123.1,1123.1,28.92,38.580002,0.0,whiskey_tamnavulin
start,1123.0,1123.1,6188.0,6187.7,6186.0,4852.8,4852.2,4854.1,23282.5,23290.0,23252.8,20119.6,20136.5,20149.7,1123.1,1123.1,1123.1,1123.1,-10427870.0,-8363166.0,-7372445.0,1859.7,1859.0,1859.6,3691.7,3692.1,3691.8,4072.2,4070.7,4070.8,1123.1,1123.1,1123.1,1123.1,26672.4,26682.8,26693.2,113909.0,114556.9,114840.3,3835.8,3834.3,3834.2,3268.1,3268.4,3272.8,1123.1,1123.1,1123.1,1123.1,103206.1,103364.8,103525.7,4712.7,4716.3,4720.3,1122.8,1122.8,1122.8,2999.7,3000.1,3000.4,1123.1,1123.1,28.91,38.610001,1.8,whiskey_tamnavulin
start,1123.0,1123.1,6187.5,6188.5,6189.2,4852.5,4852.7,4853.5,23262.7,23288.7,23274.7,20064.5,20070.3,20082.4,1123.1,1123.1,1123.1,1123.1,-10025768.0,-7847129.5,-8527748.0,1859.6,1859.4,1859.7,3690.8,3691.8,3692.0,4073.2,4071.8,4070.7,1123.1,1123.1,1123.1,1123.1,26673.7,26690.1,26700.0,113835.8,114350.9,114622.0,3835.5,3833.2,3834.0,3267.1,3267.6,3271.9,1123.2,1123.1,1123.0,1123.1,103108.8,104021.8,103209.8,4711.0,4717.5,4721.1,1122.8,1122.8,1122.8,3000.0,3001.1,3001.6,1123.1,1123.1,28.91,38.599998,3.6,whiskey_tamnavulin
start,1123.0,1123.1,6187.9,6188.3,6189.5,4853.1,4853.1,4855.0,23254.1,23273.1,23282.6,20097.5,20070.1,20127.7,1123.1,1123.1,1123.1,1123.1,-10236281.0,-8540198.0,-8292040.5,1859.4,1858.8,1859.6,3689.6,3690.3,3690.5,4072.2,4070.5,4069.1,1123.1,1123.1,1123.1,1123.1,26683.3,26704.1,26695.8,113507.8,113833.6,114646.8,3836.1,3834.9,3836.0,3267.8,3268.2,3272.3,1123.1,1123.1,1123.0,1123.1,103012.6,103364.8,103712.0,4711.6,4716.2,4721.0,1122.8,1122.8,1122.8,3000.7,3001.2,3002.4,1123.1,1123.1,28.91,38.66,5.4,whiskey_tamnavulin
start,1123.0,1123.1,6185.9,6187.3,6187.1,4851.5,4851.8,4852.9,23281.9,23277.0,23292.7,20109.3,20145.7,20158.9,1123.1,1123.1,1123.1,1123.1,-8666718.0,-8641115.0,-7910797.5,1859.4,1858.9,1859.3,3691.2,3691.1,3692.0,4071.8,4069.5,4069.3,1123.1,1123.1,1123.1,1123.1,26661.6,26677.8,26686.3,113564.0,113996.6,113602.6,3835.9,3834.7,3835.9,3268.0,3268.2,3272.6,1123.1,1123.1,1123.1,1123.1,103019.8,103305.5,103305.5,4711.5,4717.1,4721.1,1122.9,1122.8,1122.8,3000.2,3000.9,3000.9,1123.1,1123.1,28.889999,38.560001,7.2,whiskey_tamnavulin
start,1123.0,1123.1,6187.0,6186.5,6188.8,4852.6,4851.9,4853.9,23257.2,23275.6,23260.1,20113.0,20119.0,20112.5,1123.2,1123.1,1123.1,1123.1,-14606829.0,-8653897.0,-7921510.0,1859.0,1859.0,1859.5,3688.3,3688.7,3689.7,4071.5,4068.3,4067.6,1123.2,1123.1,1123.1,1123.1,26708.9,26715.2,26718.1,113874.6,114106.7,114423.6,3835.4,3834.7,3835.1,3267.7,3268.4,3272.3,1123.1,1123.1,1123.1,1123.1,102625.9,103137.0,103066.1,4710.4,4717.6,4719.8,1122.8,1122.8,1122.8,2999.8,3000.1,3001.0,1123.1,1123.1,28.889999,38.540001,9.0,whiskey_tamnavulin
start,1123.0,1123.1,6187.2,6186.5,6188.8,4852.8,4852.9,4855.1,23268.3,23267.3,23266.2,20137.0,20137.6,20157.4,1123.1,1123.1,1123.1,1123.1,-11006651.0,-8897392.0,-7878835.0,1858.8,1858.5,1858.7,3691.0,3690.7,3691.6,4071.0,4069.0,4068.2,1123.1,1123.1,1123.1,1123.1,26682.8,26694.6,26687.2,113890.1,114268.3,114405.7,3834.6,3833.2,3833.1,3267.4,3267.4,3272.2,1123.1,1123.1,1123.1,1123.1,102808.9,103327.4,103550.5,4711.3,4716.8,4722.0,1122.8,1122.8,1122.8,3000.3,3000.1,3001.5,1123.1,1123.1,28.91,38.509998,10.8,whiskey_tamnavulin
start,1123.0,1123.1,6185.6,6185.7,6188.3,4852.0,4852.3,4853.0,23298.2,23325.8,23320.4,20172.8,20147.8,20127.4,1123.1,1123.1,1123.1,1123.1,-12446883.0,-7805250.0,-7231192.0,1858.6,1858.5,1858.9,3690.7,3690.2,3691.1,4071.3,4068.0,4068.7,1123.2,1123.1,1123.1,1123.1,26659.2,26695.4,26720.9,113859.1,114189.1,114471.8,3834.4,3833.2,3833.6,3267.5,3267.3,3271.3,1123.1,1123.1,1123.1,1123.1,102927.4,103348.3,103111.5,4714.1,4718.1,4722.7,1122.8,1122.8,1122.8,3000.2,3000.9,3000.7,1123.1,1123.1,28.889999,38.48,12.6,whiskey_tamnavulin
start,1123.0,1123.1,6186.5,6184.9,6189.4,4853.1,4854.5,4856.0,23265.7,23274.2,23272.6,20124.5,20128.9,20132.5,1123.1,1123.1,1123.1,1123.1,-10559631.0,-8375139.0,-7294307.5,1858.2,1858.0,1858.7,3691.6,3691.6,3692.5,4071.1,4068.4,4068.8,1123.2,1123.2,1123.1,1123.1,26656.3,26690.0,26691.9,113623.6,114150.1,114736.7,3834.5,3833.0,3832.9,3266.9,3267.4,3271.7,1123.1,1123.1,1123.1,1123.1,103117.0,103042.5,103368.4,4713.4,4720.6,4723.6,1122.8,1122.8,1122.8,2999.7,3000.2,3001.5,1123.1,1123.1,28.889999,38.470001,14.4,whiskey_tamnavulin
start,1123.0,1123.1,6188.3,6187.3,6187.6,4854.2,4853.5,4856.0,23286.6,23285.1,23252.3,20124.4,20108.6,20118.6,1123.2,1123.1,1123.1,1123.1,-9427937.0,-6914935.0,-7932251.0,1859.2,1858.3,1858.9,3690.6,3690.2,3690.7,4070.4,4068.5,4067.9,1123.1,1123.1,1123.1,1123.1,26700.2,26705.1,26691.1,113462.7,114135.7,114289.5,3834.2,3833.2,3833.4,3266.0,3266.5,3270.6,1123.1,1123.1,1123.1,1123.1,102609.7,103523.9,103484.5,4715.0,4719.4,4722.4,1122.8,1122.8,1122.8,2998.8,2999.1,2999.9,1123.1,1123.1,28.889999,38.470001,16.2,whiskey_tamnavulin
