x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,Temperature,Humidity,time,odor_label
start,1123.0,1123.1,6196.6,6195.6,6196.2,4982.6,4982.3,4985.1,22969.4,22965.0,22955.4,20726.9,20713.3,20725.1,1123.2,1123.1,1123.1,1123.1,-9831992.0,-9183729.0,-4663240.0,1831.8,1831.2,1831.9,3758.1,3757.9,3758.6,4072.7,4070.6,4071.3,1123.1,1123.1,1123.1,1123.1,25735.9,25764.3,25774.1,113851.3,114399.0,114451.6,3815.6,3814.1,3815.0,3300.2,3301.0,3305.5,1123.1,1123.1,1123.1,1123.1,107322.3,107932.1,107753.2,4826.0,4832.1,4835.8,1122.8,1122.8,1122.8,3032.0,3032.9,3032.9,1123.1,1123.1,28.01,42.169998,0.0,whiskey_laphroaig
start,1123.0,1123.1,6194.0,6193.3,6194.6,4982.9,4983.0,4984.2,22941.2,22950.6,22953.5,20769.5,20736.8,20700.1,1123.1,1123.1,1123.0,1123.1,-10147502.0,-8870409.0,-7707555.5,1832.0,1831.6,1832.5,3759.1,3759.2,3759.1,4072.8,4070.1,4071.0,1123.1,1123.1,1123.1,1123.1,25724.9,25725.0,25742.6,113499.0,114095.6,114408.0,3815.5,3814.8,3815.4,3301.6,3301.7,3306.6,1123.1,1123.1,1123.0,1123.1,107380.4,107654.0,107485.9,4826.5,4833.1,4836.8,1122.9,1122.8,1122.8,3031.1,3031.8,3033.0,1123.2,1123.1,28.0,42.119999,1.8,whiskey_laphroaig
start,1123.0,1123.1,6195.1,6194.8,6195.4,4984.7,4984.9,4985.5,22936.2,22951.1,22945.8,20778.8,20723.7,20713.6,1123.1,1123.1,1123.1,1123.1,-10675246.0,-8292040.5,-7231192.0,1832.3,1831.5,1832.3,3761.0,3760.4,3760.4,4074.0,4071.5,4071.7,1123.1,1123.1,1123.1,1123.1,25743.1,25750.8,25764.5,113559.6,113928.9,114403.5,3816.5,3815.0,3815.8,3301.7,3301.9,3306.3,1123.1,1123.1,1123.1,1123.1,107347.9,107780.0,107879.4,4826.7,4834.2,4838.4,1122.8,1122.8,1122.8,3031.4,3031.7,3033.0,1123.1,1123.1,28.02,42.169998,3.6,whiskey_laphroaig
start,1123.0,1123.1,6193.6,6194.8,6196.0,4983.1,4984.6,4986.1,22946.8,22964.8,22957.7,20753.1,20719.8,20753.5,1123.1,1123.1,1123.1,1123.1,-10094970.0,-6543662.5,-8199068.0,1832.4,1832.3,1832.8,3760.7,3760.3,3760.2,4071.2,4070.0,4069.7,1123.2,1123.1,1123.1,1123.1,25740.0,25752.8,25762.8,113976.7,114442.7,114486.3,3815.5,3814.7,3815.7,3302.5,3302.9,3307.2,1123.1,1123.1,1123.1,1123.1,107076.7,107660.0,107938.1,4827.6,4833.7,4837.8,1122.9,1122.8,1122.8,3032.1,3032.5,3033.0,1123.1,1123.1,28.01,42.18,5.4,whiskey_laphroaig
start,1123.0,1123.1,6198.4,6195.4,6197.3,4983.9,4984.9,4985.7,22937.7,22942.1,22952.6,20737.4,20765.8,20702.0,1123.2,1123.1,1123.1,1123.1,-9126420.0,-7529002.5,-6766958.0,1832.3,1831.7,1832.6,3760.4,3760.2,3760.5,4071.3,4070.2,4070.5,1123.2,1123.1,1123.1,1123.1,25727.5,25743.8,25757.8,113751.7,114307.4,114403.5,3815.3,3813.8,3814.1,3301.6,3302.2,3306.6,1123.1,1123.1,1123.1,1123.1,108003.9,108005.8,108300.8,4828.9,4835.2,4839.0,1122.8,1122.8,1122.8,3031.3,3032.7,3033.6,1123.1,1123.1,28.0,42.23,7.2,whiskey_laphroaig
start,1123.0,1123.1,6192.3,6193.3,6194.6,4984.1,4984.8,4986.3,22950.1,22953.8,22975.6,20734.7,20753.1,20782.1,1123.2,1123.1,1123.1,1123.1,-9256385.0,-7363165.0,-7018637.5,1832.2,1831.7,1832.6,3760.0,3758.4,3759.9,4072.5,4068.5,4069.4,1123.1,1123.1,1123.1,1123.1,25721.6,25737.3,25748.4,113636.8,114191.3,114366.6,3815.0,3813.2,3814.2,3301.9,3302.6,3306.4,1123.1,1123.1,1123.1,1123.1,107437.6,107686.8,107978.9,4825.3,4833.2,4836.8,1122.8,1122.8,1122.8,3032.3,3033.3,3034.1,1123.2,1123.1,28.01,42.299999,9.0,whiskey_laphroaig
start,1123.0,1123.1,6194.0,6193.9,6195.2,4984.5,4983.7,4986.1,22951.1,22949.3,22958.4,20780.0,20718.0,20779.4,1123.1,1123.1,1123.1,1123.1,-10597889.0,-7353909.5,-8292040.5,1832.6,1832.0,1832.6,3759.7,3758.7,3760.1,4073.6,4072.1,4071.8,1123.1,1123.1,1123.1,1123.1,25739.6,25758.0,25766.0,113523.2,114499.8,114298.4,3816.0,3814.5,3814.7,3302.9,3303.1,3307.1,1123.1,1123.1,1123.1,1123.1,107867.4,108230.6,108212.6,4826.1,4833.5,4837.9,1122.8,1122.8,1122.8,3031.3,3031.7,3032.8,1123.2,1123.1,28.01,42.41,10.8,whiskey_laphroaig
start,1123.0,1123.1,6194.7,6196.4,6197.8,4984.2,4984.1,4986.0,22920.5,22922.2,22938.4,20783.1,20757.1,20771.7,1123.1,1123.1,1123.0,1123.1,-10427870.0,-7276162.5,-7826133.5,1832.3,1831.3,1832.2,3758.3,3759.1,3759.6,4072.2,4071.0,4069.3,1123.2,1123.1,1123.1,1123.1,25756.5,25788.8,25796.8,113831.4,114115.6,114897.8,3816.3,3814.5,3814.2,3302.6,3302.4,3306.8,1123.1,1123.1,1123.0,1123.1,107922.1,108680.0,108046.7,4827.6,4833.8,4836.6,1122.8,1122.8,1122.8,3032.0,3032.8,3033.9,1123.1,1123.1,28.040001,42.380001,12.6,whiskey_laphroaig
start,1123.0,1123.1,6197.0,6196.1,6196.1,4984.5,4985.0,4987.0,22927.9,22934.8,22945.1,20731.4,20739.2,20674.9,1123.1,1123.1,1123.1,1123.1,-10578725.0,-7240142.0,-8013746.0,1832.5,1831.8,1832.5,3762.8,3760.8,3761.6,4071.0,4069.6,4069.1,1123.1,1123.1,1123.1,1123.1,25746.9,25771.4,25770.4,113690.9,114277.2,114092.2,3814.8,3813.8,3814.3,3302.7,3304.0,3307.3,1123.1,1123.1,1123.1,1123.1,107364.6,107631.3,107889.3,4828.3,4835.0,4839.3,1122.8,1122.8,1122.8,3031.2,3032.5,3032.6,1123.1,1123.1,28.01,42.380001,14.4,whiskey_laphroaig
start,1123.0,1123.1,6194.5,6194.2,6195.5,4984.6,4985.4,4987.1,22951.5,22947.9,22959.3,20731.8,20745.3,20702.4,1123.1,1123.1,1123.1,1123.1,-12049506.0,-8069013.5,-6550990.5,1832.1,1831.7,1832.2,3759.8,3761.4,3762.1,4072.1,4069.3,4070.1,1123.1,1123.1,1123.1,1123.1,25755.3,25762.6,25781.1,113665.5,113822.5,113944.5,3815.2,3814.4,3814.9,3303.2,3303.1,3307.6,1123.1,1123.1,1123.1,1123.1,107386.3,108060.7,108144.6,4829.4,4834.6,4836.9,1122.9,1122.8,1122.8,3031.6,3032.1,3033.1,1123.1,1123.1,28.02,42.43,16.2,whiskey_laphroaig
